time_step,vehicle_id,role,speed_mps,acceleration,x,y,space_headway,ref_vels
0,veh0,Leader,0.25,2.5,72.025,-1.6,0.0,
0,veh1,Follower1,0.2041,2.0408,60.0204,-1.6,4.0046,2.0
0,veh2,Follower2,0.2041,2.0408,48.0204,-1.6,4.0,2.2
0,veh3,Follower3,0.2041,2.0408,36.0204,-1.6,4.0,2.2041
0,veh4,Follower4,0.2041,2.0408,24.0204,-1.6,4.0,2.2041
0,veh5,Follower5,0.2041,2.0408,12.0204,-1.6,4.0,2.2041
0,veh6,Follower6,0.2041,2.0408,0.0204,-1.6,4.0,2.2041
1,veh0,Leader,0.375,1.25,72.0625,-1.6,0.0,
1,veh1,Follower1,0.0,-2.0408,60.0204,-1.6,4.0421,2.0
1,veh2,Follower2,0.0,-2.0408,48.0204,-1.6,4.0,2.0
1,veh3,Follower3,0.0,-2.0408,36.0204,-1.6,4.0,2.0
1,veh4,Follower4,0.0,-2.0408,24.0204,-1.6,4.0,2.0
1,veh5,Follower5,0.0,-2.0408,12.0204,-1.6,4.0,2.0
1,veh6,Follower6,0.0,-2.0408,0.0204,-1.6,4.0,2.0
2,veh0,Leader,0.4221,0.4713,72.1047,-1.6,0.0,
2,veh1,Follower1,0.0,0.0,60.0204,-1.6,4.0843,2.0
2,veh2,Follower2,0.0,0.0,48.0204,-1.6,4.0,2.0
2,veh3,Follower3,0.0,0.0,36.0204,-1.6,4.0,2.0
2,veh4,Follower4,0.0,0.0,24.0204,-1.6,4.0,2.0
2,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.0,2.0
2,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
3,veh0,Leader,0.4528,0.3065,72.15,-1.6,0.0,
3,veh1,Follower1,0.0,0.0,60.0204,-1.6,4.1296,2.0
3,veh2,Follower2,0.0,0.0,48.0204,-1.6,4.0,2.0
3,veh3,Follower3,0.0,0.0,36.0204,-1.6,4.0,2.0
3,veh4,Follower4,0.0,0.0,24.0204,-1.6,4.0,2.0
3,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.0,2.0
3,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
4,veh0,Leader,0.5156,0.6287,72.2016,-1.6,0.0,
4,veh1,Follower1,0.0,0.0,60.0204,-1.6,4.1811,2.0
4,veh2,Follower2,0.0,0.0,48.0204,-1.6,4.0,2.0
4,veh3,Follower3,0.0,0.0,36.0204,-1.6,4.0,2.0
4,veh4,Follower4,0.0,0.0,24.0204,-1.6,4.0,2.0
4,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.0,2.0
4,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
5,veh0,Leader,0.5472,0.3157,72.2563,-1.6,0.0,
5,veh1,Follower1,0.0,0.0,60.0204,-1.6,4.2359,2.0
5,veh2,Follower2,0.0,0.0,48.0204,-1.6,4.0,2.0
5,veh3,Follower3,0.0,0.0,36.0204,-1.6,4.0,2.0
5,veh4,Follower4,0.0,0.0,24.0204,-1.6,4.0,2.0
5,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.0,2.0
5,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
6,veh0,Leader,0.5942,0.4701,72.3157,-1.6,0.0,
6,veh1,Follower1,0.0,0.0,60.0204,-1.6,4.2953,2.0
6,veh2,Follower2,0.0,0.0,48.0204,-1.6,4.0,2.0
6,veh3,Follower3,0.0,0.0,36.0204,-1.6,4.0,2.0
6,veh4,Follower4,0.0,0.0,24.0204,-1.6,4.0,2.0
6,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.0,2.0
6,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
7,veh0,Leader,0.6248,0.3055,72.3782,-1.6,0.0,
7,veh1,Follower1,0.0,0.0,60.0204,-1.6,4.3578,2.0
7,veh2,Follower2,0.0,0.0,48.0204,-1.6,4.0,2.0
7,veh3,Follower3,0.0,0.0,36.0204,-1.6,4.0,2.0
7,veh4,Follower4,0.0,0.0,24.0204,-1.6,4.0,2.0
7,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.0,2.0
7,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
8,veh0,Leader,0.6722,0.4744,72.4454,-1.6,0.0,
8,veh1,Follower1,0.0,0.0,60.0204,-1.6,4.425,2.0
8,veh2,Follower2,0.0,0.0,48.0204,-1.6,4.0,2.0
8,veh3,Follower3,0.0,0.0,36.0204,-1.6,4.0,2.0
8,veh4,Follower4,0.0,0.0,24.0204,-1.6,4.0,2.0
8,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.0,2.0
8,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
9,veh0,Leader,0.7192,0.4702,72.5173,-1.6,0.0,
9,veh1,Follower1,0.0,0.0,60.0204,-1.6,4.4969,2.0
9,veh2,Follower2,0.0,0.0,48.0204,-1.6,4.0,2.0
9,veh3,Follower3,0.0,0.0,36.0204,-1.6,4.0,2.0
9,veh4,Follower4,0.0,0.0,24.0204,-1.6,4.0,2.0
9,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.0,2.0
9,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
10,veh0,Leader,0.7667,0.4742,72.594,-1.6,0.0,
10,veh1,Follower1,0.0,0.0,60.0204,-1.6,4.5736,2.0
10,veh2,Follower2,0.0,0.0,48.0204,-1.6,4.0,2.0
10,veh3,Follower3,0.0,0.0,36.0204,-1.6,4.0,2.0
10,veh4,Follower4,0.0,0.0,24.0204,-1.6,4.0,2.0
10,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.0,2.0
10,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
11,veh0,Leader,0.8142,0.475,72.6754,-1.6,0.0,
11,veh1,Follower1,0.0752,0.7522,60.0279,-1.6,4.6475,2.0752
11,veh2,Follower2,0.0,0.0,48.0204,-1.6,4.0075,2.0
11,veh3,Follower3,0.0,0.0,36.0204,-1.6,4.0,2.0
11,veh4,Follower4,0.0,0.0,24.0204,-1.6,4.0,2.0
11,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.0,2.0
11,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
12,veh0,Leader,0.8584,0.4419,72.7612,-1.6,0.0,
12,veh1,Follower1,0.1601,0.8488,60.0439,-1.6,4.7173,2.1601
12,veh2,Follower2,0.0,0.0,48.0204,-1.6,4.0235,2.0
12,veh3,Follower3,0.0,0.0,36.0204,-1.6,4.0,2.0
12,veh4,Follower4,0.0,0.0,24.0204,-1.6,4.0,2.0
12,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.0,2.0
12,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
13,veh0,Leader,0.9056,0.4727,72.8518,-1.6,0.0,
13,veh1,Follower1,0.2487,0.8861,60.0688,-1.6,4.783,2.2487
13,veh2,Follower2,0.0,0.0,48.0204,-1.6,4.0484,2.0
13,veh3,Follower3,0.0,0.0,36.0204,-1.6,4.0,2.0
13,veh4,Follower4,0.0,0.0,24.0204,-1.6,4.0,2.0
13,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.0,2.0
13,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
14,veh0,Leader,0.9695,0.6384,72.9488,-1.6,0.0,
14,veh1,Follower1,0.3417,0.9302,60.103,-1.6,4.8458,2.3417
14,veh2,Follower2,0.0,0.0,48.0204,-1.6,4.0826,2.0
14,veh3,Follower3,0.0,0.0,36.0204,-1.6,4.0,2.0
14,veh4,Follower4,0.0,0.0,24.0204,-1.6,4.0,2.0
14,veh5,Follower5,0.0,0.0,12.0204,-1.6,4.0,2.0
14,veh6,Follower6,0.0,0.0,0.0204,-1.6,4.0,2.0
15,veh0,Leader,1.0309,0.6145,73.0518,-1.6,0.0,
15,veh1,Follower1,0.447,1.0524,60.1477,-1.6,4.9042,2.447
15,veh2,Follower2,0.0,0.0,48.0204,-1.6,4.1273,2.0
